iter	Passed	Remaining
0	225	225244
1	356	177772
2	470	156516
3	575	143280
4	705	140477
5	837	138813
6	1002	142225
7	1142	141612
8	1251	137858
9	1413	139928
10	1518	136516
11	1638	134941
12	1744	132463
13	1856	130762
14	1973	129604
15	2101	129257
16	2238	129459
17	2375	129590
18	2507	129458
19	2650	129855
20	2813	131182
21	2946	130973
22	3080	130845
23	3238	131713
24	3437	134057
25	3608	135168
26	3788	136540
27	3932	136500
28	4037	135197
29	4143	133965
30	4251	132880
31	4375	132346
32	4492	131630
33	4616	131154
34	4719	130125
35	4825	129214
36	4926	128230
37	5045	127722
38	5139	126638
39	5222	125335
40	5327	124603
41	5421	123658
42	5521	122889
43	5624	122194
44	5734	121688
45	5858	121502
46	5984	121345
47	6114	121270
48	6248	121268
49	6387	121353
50	6521	121354
51	6655	121327
52	6831	122064
53	6958	121894
54	7083	121706
55	7222	121749
56	7354	121664
57	7486	121595
58	7637	121815
59	7778	121860
60	7901	121623
61	8038	121610
62	8168	121484
63	8312	121572
64	8398	120804
65	8498	120267
66	8610	119904
67	8742	119822
68	8867	119648
69	9003	119618
70	9138	119571
71	9252	119253
72	9358	118837
73	9464	118437
74	9584	118208
75	9668	117553
76	9760	116998
77	9861	116572
78	9967	116201
79	10072	115829
80	10175	115446
81	10310	115425
82	10429	115225
83	10541	114957
84	10683	115003
85	10795	114732
86	10936	114766
87	11063	114663
88	11183	114476
89	11338	114641
90	11472	114602
91	11584	114336
92	11686	113970
93	11831	114031
94	11970	114033
95	12112	114061
96	12231	113863
97	12370	113861
98	12503	113791
99	12648	113838
100	12757	113554
101	12860	113226
102	12963	112891
103	13083	112722
104	13221	112699
105	13328	112411
106	13444	112205
107	13551	111925
108	13661	111673
109	13753	111281
110	13874	111123
111	13977	110823
112	14077	110499
113	14178	110192
114	14283	109919
115	14388	109647
116	14493	109379
117	14600	109133
118	14709	108902
119	14820	108681
120	14937	108510
121	15061	108391
122	15178	108225
123	15309	108156
124	15450	108153
125	15561	107940
126	15680	107789
127	15795	107609
128	15938	107616
129	16066	107519
130	16185	107371
131	16338	107439
132	16466	107343
133	16605	107318
134	16754	107354
135	16877	107221
136	16991	107036
137	17089	106746
138	17204	106571
139	17314	106358
140	17447	106294
141	17556	106079
142	17662	105850
143	17770	105637
144	17873	105394
145	17955	105028
146	18046	104716
147	18152	104498
148	18249	104231
149	18346	103961
150	18437	103663
151	18532	103393
152	18639	103184
153	18737	102936
154	18853	102781
155	18965	102605
156	19052	102301
157	19160	102110
158	19280	101978
159	19410	101905
160	19536	101808
161	19652	101657
162	19786	101601
163	19908	101484
164	20027	101350
165	20144	101206
166	20260	101060
167	20390	100982
168	20499	100798
169	20621	100682
170	20745	100574
171	20877	100501
172	20999	100384
173	21121	100267
174	21240	100135
175	21335	99887
176	21430	99647
177	21529	99424
178	21605	99093
179	21730	98995
180	21855	98894
181	21977	98778
182	22096	98650
183	22202	98462
184	22312	98296
185	22409	98070
186	22518	97901
187	22631	97747
188	22735	97559
189	22825	97307
190	22922	97088
191	23023	96889
192	23139	96755
193	23256	96622
194	23376	96502
195	23516	96465
196	23681	96527
197	23823	96496
198	23965	96462
199	24107	96429
200	24221	96281
201	24335	96138
202	24469	96068
203	24583	95924
204	24697	95777
205	24829	95700
206	24953	95596
207	25073	95472
208	25209	95411
209	25325	95270
210	25420	95056
211	25527	94885
212	25655	94792
213	25758	94609
214	25897	94555
215	26028	94475
216	26142	94331
217	26255	94182
218	26343	93945
219	26436	93729
220	26567	93646
221	26693	93547
222	26781	93313
223	26881	93125
224	26991	92970
225	27093	92788
